auditor,date,is_producing,quantity
Auditor0,2013-11-02 0:0,false,58.0
Auditor0,2013-11-02 0:15,false,75.0
Auditor0,2013-11-02 0:30,false,65.0
Auditor0,2013-11-02 0:45,false,0.08
Auditor0,2013-11-02 1:0,false,67.0
Auditor0,2013-11-02 1:15,false,69.0
Auditor0,2013-11-02 1:30,false,0.07
Auditor0,2013-11-02 1:45,false,73.0
Auditor0,2013-11-02 2:0,false,68.0
Auditor0,2013-11-02 2:15,false,0.06
Auditor0,2013-11-02 2:30,false,77.0
Auditor0,2013-11-02 2:45,false,69.0
Auditor0,2013-11-02 3:0,false,91.0
Auditor0,2013-11-02 3:15,false,64.0
Auditor0,2013-11-02 3:30,false,74.0
Auditor0,2013-11-02 3:45,false,74.0
Auditor0,2013-11-02 4:0,false,74.0
Auditor0,2013-11-02 4:15,false,67.0
Auditor0,2013-11-02 4:30,false,61.0
Auditor0,2013-11-02 4:45,false,89.0
Auditor0,2013-11-02 5:0,false,58.0
Auditor0,2013-11-02 5:15,false,75.0
Auditor0,2013-11-02 5:30,false,57.0
Auditor0,2013-11-02 5:45,false,108.0
Auditor0,2013-11-02 6:0,false,85.0
Auditor0,2013-11-02 6:15,false,89.0
Auditor0,2013-11-02 6:30,false,183.0
Auditor0,2013-11-02 6:45,false,272.0
Auditor0,2013-11-02 7:0,false,311.0
Auditor0,2013-11-02 7:15,false,0.37
Auditor0,2013-11-02 7:30,false,498.0
Auditor0,2013-11-02 7:45,false,274.0
Auditor0,2013-11-02 8:0,false,276.0
Auditor0,2013-11-02 8:15,false,0.23
Auditor0,2013-11-02 8:30,false,187.0
Auditor0,2013-11-02 8:45,false,136.0
Auditor0,2013-11-02 9:0,false,79.0
Auditor0,2013-11-02 9:15,false,42.0
Auditor0,2013-11-02 9:30,false,91.0
Auditor0,2013-11-02 9:45,false,148.0
Auditor0,2013-11-02 10:0,false,819.0
Auditor0,2013-11-02 10:15,false,798.0
Auditor0,2013-11-02 10:30,false,802.0
Auditor0,2013-11-02 10:45,false,738.0
Auditor0,2013-11-02 11:0,false,508.0
Auditor0,2013-11-02 11:15,false,253.0
Auditor0,2013-11-02 11:30,false,84.0
Auditor0,2013-11-02 11:45,false,68.0
Auditor0,2013-11-02 12:0,false,65.0
Auditor0,2013-11-02 12:15,false,611.0
Auditor0,2013-11-02 12:30,false,162.0
Auditor0,2013-11-02 12:45,false,167.0
Auditor0,2013-11-02 13:0,false,183.0
Auditor0,2013-11-02 13:15,false,0.73
Auditor0,2013-11-02 13:30,false,711.0
Auditor0,2013-11-02 13:45,false,695.0
